Type,Cycle,Title,Supervisor 1,Supervisor 2,Supervisor 3,Start date,End date,Duration (months),Continent,Country 1,Country 2,Country 3,Country 4,Region,City 1,City 2,City 3,City 4,Landmark,Institution,Institution (full name),Contact person,Reference code,ArchiRès link
P45,Master,Atelier du désert,Alice Grégoire,Eléonore Morand,,2025-03-01,2025-07-01,4,,,,,,,,,,,,,,,,
P45,Master,"Dé-métropolisation : ""Plan B in water territories""",Emilie Gascon,Toe Lawan-Kila,,2025-03-01,2025-07-01,4,,,,,,,,,,,,,,,,
P45,Master,Density & Metropolis,Andreas Kofler,Klaas de Rycke,,2025-03-01,2025-07-01,4,,,,,,,,,,,,,,,,
P45,Master,"L’Intelligence de la main / Design Build. Construire aujourd’hui en terre crue, bois et fibres végétales en territoire rural",Guillaume Ramillien,,,2025-03-01,2025-07-01,4,,,,,,,,,,,,,,,,
P45,Master,La ville sans cesse - #3 : L’océan,Jeremy Lecomte,Thomas Raynaud,,2025-03-01,2025-07-01,4,Europe,,,,,Côte adriatique,,,,,,,,,,
P45,Master,Qui chante le matin est peut-être un oiseau,Raphaëlle Hondelatte,Milena Charbit,,2025-03-01,2025-07-01,4,,,,,,,,,,,,,,,,
P45,Master,Social Machine : Architectures précaires,Claire Petetin,Thomas Charil,,2025-03-01,2025-07-01,4,,,,,,,,,,,,,,,,
P45,Master,Territoires du commun. Mutations et transformations urbaines en Amérique-Latine : Pérou,Susanne Stacher,Luciano Aletta,,2025-03-01,2025-07-01,4,Amérique du Sud,Pérou,,,,,,,,,,,,,,
P45,Master,Tokyo Together,David Leclerc,Stéphane Berthier,,2025-03-01,2025-07-01,4,Asie,Japon,,,,,Tokyo,,,,,,,,,
P45,Master,,Philippe Rahm,,,2024-09-01,2025-01-01,4,Afrique,,,,,Maghreb,,,,,,,,,,
P45,Master,Composer des mondes,Elisabeth Lemercier,Pierre Antoine,,2024-09-01,2025-01-01,4,,,,,,,,,,,,,,,,
P45,Master,"Amsterdam Nord, ville et port",Nicolas Pham,,,2024-09-01,2025-01-01,4,Europe,Pays-Bas,,,,,Amsterdam,,,,,,,,,
P45,Master,"Architecture de l’atmosphère : 3 dispositifs, serre, cave et cheminée",Émeric Lambert,Hugo Haenni-Haddad,,2024-09-01,2025-01-01,4,,,,,,,,,,,,,,,,
P45,Master,Décomposition et déformation,Nicolas Karmochkine,Matthieu Gelin,,2024-09-01,2025-01-01,4,,,,,,,,,,,,,,,,
P45,Master,European Hardware. Construire l’Europe qui vient : Redimensionner Ecologiquement le Monde des Infrastructures,Djamel Klouche,Gaëtan Brunet,,2024-09-01,2025-01-01,4,,,,,,,,,,,,,,,,
P45,Master,Future Storage,Marcos Garcia Rojo,Marina Otero Verzier,,2024-09-01,2025-01-01,4,,,,,,,,,,,,,,,,
P45,Master,"Habitat, patrimoine, paysage. Trois enjeux pour les centres mineurs en déprise. La Sicile orientale.",Roberta Borghi,Anne-Sylvie Bruel,,2024-09-01,2025-01-01,4,Europe,Italie,,,,Sicile,,,,,,,,,,
P45,Master,Composer des mondes,Elisabeth Lemercier,Pierre Antoine,,2024-03-01,2024-07-01,4,Amérique du Sud,Brésil,,,,,,,,,,FAU-UFRJ; FAU-UnB,Faculdade de Arquitetura e Urbanismo - Universidade Federal do Rio de Janeiro; Faculdade de Arquitetura e Urbanismo - Universidade de Brasília,,,
P45,Master,Atelier du désert,Alice Grégoire,Eléonore Morand,,2024-03-01,2024-07-01,4,Afrique,Algérie,,,,,,,,,,OPPVM,Office de Protection et de Promotion de la Vallée du M'Zab,,,
P45,Master,Density & Metropolis,Andreas Kofler,,,2024-03-01,2024-07-01,4,,,,,,,,,,,,,,,,
P45,Master,Future Storage,Marcos Garcia Rojo,Marina Otero Verzier,,2024-03-01,2024-07-01,4,,,,,,,,,,,,,,,,
P45,Master,"L’Intelligence de la main / Design Build. Construire aujourd’hui en terre crue, bois et fibres végétales en territoire rural",Guillaume Ramillien,Théophile Bianciotto,,2023-09-01,2024-07-01,10,Afrique,Sénégal,,,,,,,,,,CUAD,Collège Universitaire d'Architecture de Dakar,,,
P45,Master,Qui chante le matin est peut-être un oiseau,Raphaëlle Hondelatte,Milena Charbit,,2024-03-01,2024-07-01,4,,,,,,,,,,,,,,,,
P45,Master,Social Machine : Architectures précaires,Claire Petetin,Thomas Charil,,2024-03-01,2024-07-01,4,,,,,,,,,,,,,,,,
P45,Master,Territoires du commun. Mutations et transformations urbaines en Amérique-Latine : Pérou,Susanne Stacher,Luciano Aletta,,2024-03-01,2024-07-01,4,Amérique du Sud,Pérou,,,,,,,,,,CIAC-PUCP,Centro de Investigación de la Arquitectura y la Ciudad - Pontificia Universidad Católica del Perú,,,
P45,Master,Tokyo Together,David Leclerc,Stéphane Berthier,,2024-03-01,2024-07-01,4,Asie,Japon,,,,,Tokyo,,,,,Waseda University,"Waseda University - School of Creative Science and Engineering, Department of Architecture",Keigo Kobayashi,,
P45,Master,"(de) densification. Learning From Asia, made in France",Ingrid Taillandier,Laura Cardin,,2023-09-01,2024-01-01,4,Asie,Chine,,,,,,,,,,CAUP Tongji,College of Architecture and Urban Planning - Tongji University,,,
P45,Master,"Amsterdam Nord, ville et port",Nicolas Pham,,,2023-09-01,2024-01-01,4,Europe,Pays-Bas,,,,,Amsterdam,,,,,TU Delft,Delft University of Technology,,,
P45,Master,"Architecture de l’atmosphère : 3 dispositifs, serre, cave et cheminée",Émeric Lambert,Hugo Haenni-Haddad,,2023-09-01,2024-01-01,4,,,,,,,,,,,,,,,,
P45,Master,Décomposition et déformation,Nicolas Karmochkine,Matthieu Gelin,,2023-09-01,2024-01-01,4,,,,,,,,,,,,,,,,
P45,Master,European Hardware. Construire l’Europe qui vient : Redimensionner Ecologiquement le Monde des Infrastructures,Djamel Klouche,Gaëtan Brunet,,2023-09-01,2024-01-01,4,,,,,,,,,,,,,,,,
P45,Master,"Habitat, patrimoine, paysage. Trois enjeux pour les centres mineurs en déprise. La Sicile orientale.",Roberta Borghi,Anne-Sylvie Bruel,,2023-09-01,2024-01-01,4,Europe,Italie,,,,Sicile,,,,,,UNICT,Università degli Studi di Catania,,,
P45,Master,Atacama : architecture at the edge of physics,Nicolas Dorval-Bory,Emilio Marín,Matthieu Molet,2022-03-01,2022-07-01,4,Amérique du Sud,Chili,,,,Atacama,,,,,,PUC Chile,Pontificia Universidad Católica de Chile,Emilio Marín,,
P45,Master,Atacama : architecture at the edge of physics,Nicolas Dorval-Bory,Emilio Marín,,2019-03-01,2019-07-01,4,Amérique du Sud,Chili,,,,Atacama,,,,,,PUC Chile,Pontificia Universidad Católica de Chile,Emilio Marín,,
P45,Master,,,,,2014-01-01,2021-01-01,84,Europe,Roumanie,,,,,,,,,,UAUIM,Ion Mincu University of Architecture and Urban Planning,A. Ferraru,,
P45,Master,,Raphaëlle Hondelatte,,,2012-09-28,2015-09-12,36,,,,,,,,,,,,Académie des Beaux-Arts,,,,
P46,Master,,S. Delhay,,,2015-12-04,2018-12-03,36,,,,,,,,,,,,Académie des Beaux-Arts,,,,
P45,Master,,,,,,,,Europe,Pays-Bas,,,,,,,,,,Academie van Bouwkunst,Academie van Bouwkunst Amsterdam (Amsterdam University of the Arts),,,
P45,Master,,Ido Avissar,,,2018-01-01,2021-04-18,39,Amérique du Nord,États-Unis,,,,Illinois,,,,,,IIT,Illinois Institute of Technology - College of Architecture,,,
P45,Master,,E. Guenoun,Jeremy Lecomte,,2017-01-01,2020-01-01,36,Amérique du Nord,États-Unis,,,,Texas,,,,,,GDH-UH,Gerald D. Hines College of Architecture and Design - University of Houston,,,
P45,Master,,Cédric Libert,Pierre Antoine,,2015-06-15,2018-08-01,38,Amérique du Sud,Brésil,,,,,,,,,,PUC-Rio,Pontifícia Universidade Católica do Rio de Janeiro,,,
P45,Master,,Cédric Libert,Pierre Antoine,,2013-03-28,2018-03-27,60,Amérique du Sud,Brésil,,,,,,,,,,FAU-UFRJ,Faculdade de Arquitetura e Urbanismo - Universidade Federal do Rio de Janeiro,,,
P45,Master,,Susanne Stacher,,,,,,Asie,Thaïlande,,,,,,,,,,Chulalongkorn,Chulalongkorn University,,,
P45,Master,,David Leclerc,Stéphane Berthier,,,,,Asie,Japon,,,,,,,,,,UTokyo,The University of Tokyo,,,
P45,Master,,Luc Vilan,,,2016-01-01,2018-01-01,24,Asie,Palestine,,,,,,,,,,An-Najah,An-Najah National University,,,
